"Ocena dokonèanih stanovanj po številu sob in površini, po obèinah, Slovenija, letno"

"OBÈINE";"MERITVE";"2008 Stanovanja - SKUPAJ";"2008 Enosobna";"2008 Dvosobna";"2008 Trisobna";"2008 Štirisobna";"2008 Pet- in veèsobna";"2009 Stanovanja - SKUPAJ";"2009 Enosobna";"2009 Dvosobna";"2009 Trisobna";"2009 Štirisobna";"2009 Pet- in veèsobna";"2010 Stanovanja - SKUPAJ";"2010 Enosobna";"2010 Dvosobna";"2010 Trisobna";"2010 Štirisobna";"2010 Pet- in veèsobna";"2011 Stanovanja - SKUPAJ";"2011 Enosobna";"2011 Dvosobna";"2011 Trisobna";"2011 Štirisobna";"2011 Pet- in veèsobna";"2012 Stanovanja - SKUPAJ";"2012 Enosobna";"2012 Dvosobna";"2012 Trisobna";"2012 Štirisobna";"2012 Pet- in veèsobna";"2013 Stanovanja - SKUPAJ";"2013 Enosobna";"2013 Dvosobna";"2013 Trisobna";"2013 Štirisobna";"2013 Pet- in veèsobna";"2014 Stanovanja - SKUPAJ";"2014 Enosobna";"2014 Dvosobna";"2014 Trisobna";"2014 Štirisobna";"2014 Pet- in veèsobna";"2015 Stanovanja - SKUPAJ";"2015 Enosobna";"2015 Dvosobna";"2015 Trisobna";"2015 Štirisobna";"2015 Pet- in veèsobna";"2016 Stanovanja - SKUPAJ";"2016 Enosobna";"2016 Dvosobna";"2016 Trisobna";"2016 Štirisobna";"2016 Pet- in veèsobna";"2017 Stanovanja - SKUPAJ";"2017 Enosobna";"2017 Dvosobna";"2017 Trisobna";"2017 Štirisobna";"2017 Pet- in veèsobna";"2018 Stanovanja - SKUPAJ";"2018 Enosobna";"2018 Dvosobna";"2018 Trisobna";"2018 Štirisobna";"2018 Pet- in veèsobna";"2019 Stanovanja - SKUPAJ";"2019 Enosobna";"2019 Dvosobna";"2019 Trisobna";"2019 Štirisobna";"2019 Pet- in veèsobna";"2020 Stanovanja - SKUPAJ";"2020 Enosobna";"2020 Dvosobna";"2020 Trisobna";"2020 Štirisobna";"2020 Pet- in veèsobna";"2021 Stanovanja - SKUPAJ";"2021 Enosobna";"2021 Dvosobna";"2021 Trisobna";"2021 Štirisobna";"2021 Pet- in veèsobna";"2022 Stanovanja - SKUPAJ";"2022 Enosobna";"2022 Dvosobna";"2022 Trisobna";"2022 Štirisobna";"2022 Pet- in veèsobna";"2023 Stanovanja - SKUPAJ";"2023 Enosobna";"2023 Dvosobna";"2023 Trisobna";"2023 Štirisobna";"2023 Pet- in veèsobna"
"Èrnomelj";"Površina [m2]";3196;93;567;930;389;1217;3665;0;247;1010;829;1579;3446;40;222;1118;1272;794;3702;0;151;384;1314;1853;5200;361;1146;1923;1229;541;3767;0;603;706;2319;139;1218;17;116;196;558;331;2125;581;0;0;449;1095;2082;0;33;519;889;641;2150;0;335;200;643;972;2022;0;53;433;147;1389;4205;54;1110;687;1610;744;1409;37;0;0;366;1006;1473;0;0;0;329;1144;2879;336;696;193;836;818;2607;172;307;787;1117;224
"Destrnik";"Število";10;0;1;1;3;5;3;0;0;0;2;1;2;0;0;0;1;1;8;0;0;2;1;5;5;0;1;2;0;2;4;0;0;0;2;2;2;0;0;1;1;0;3;0;0;2;1;0;7;1;0;1;3;2;4;0;0;0;2;2;9;0;0;0;4;5;8;0;0;3;4;1;8;0;1;1;4;2;9;0;0;1;6;2;10;0;2;0;4;4;9;2;1;2;4;0
"Destrnik";"Površina [m2]";1364;0;55;117;404;788;240;0;0;0;134;106;554;0;0;0;244;310;1257;0;0;195;126;936;848;0;85;256;0;507;694;0;0;0;416;278;403;0;0;174;229;0;263;0;0;108;155;0;764;20;0;162;288;294;818;0;0;0;360;458;1370;0;0;0;551;819;1476;0;0;521;775;180;1127;0;91;188;515;333;1830;0;0;110;1213;507;1846;0;71;0;841;934;1097;346;63;166;522;0
"Divaèa";"Število";26;0;2;1;0;23;12;0;0;1;5;6;12;0;2;0;0;10;8;0;0;0;4;4;6;0;0;2;3;1;10;0;0;2;5;3;9;0;0;0;4;5;7;0;0;1;4;2;8;0;0;3;4;1;2;0;0;0;1;1;2;0;0;1;0;1;3;0;2;0;1;0;7;1;1;3;1;1;4;0;0;0;2;2;6;0;1;2;3;0;3;0;0;0;3;0
"Divaèa";"Površina [m2]";3343;0;86;85;0;3172;1855;0;0;78;830;947;2554;0;316;0;0;2238;1087;0;0;0;557;530;1210;0;0;337;670;203;2004;0;0;258;1172;574;1562;0;0;0;647;915;1482;0;0;340;658;484;1582;0;0;312;1037;233;320;0;0;0;100;220;477;0;0;160;0;317;272;0;125;0;147;0;1137;243;153;405;108;228;617;0;0;0;209;408;1318;0;194;301;823;0;482;0;0;0;482;0
"Dobje";"Število";1;0;0;0;0;1;0;0;0;0;0;0;4;0;0;1;1;2;3;0;1;0;0;2;3;1;0;1;0;1;6;0;1;0;2;3;1;0;0;0;0;1;2;0;1;0;0;1;1;0;0;0;0;1;3;0;0;0;0;3;0;0;0;0;0;0;2;0;0;0;0;2;3;1;0;0;0;2;0;0;0;0;0;0;2;0;0;0;1;1;2;0;0;0;0;2
"Dobje";"Površina [m2]";258;0;0;0;0;258;0;0;0;0;0;0;721;0;0;194;120;407;530;0;45;0;0;485;287;79;0;65;0;143;941;0;23;0;527;391;181;0;0;0;0;181;226;0;102;0;0;124;154;0;0;0;0;154;624;0;0;0;0;624;0;0;0;0;0;0;478;0;0;0;0;478;426;77;0;0;0;349;0;0;0;0;0;0;272;0;0;0;130;142;395;0;0;0;0;395
"Dobrepolje";"Število";24;0;2;4;6;12;52;34;0;2;5;11;18;1;1;1;3;12;15;0;1;1;1;12;10;1;0;1;2;6;6;0;0;2;4;0;7;1;0;2;1;3;5;0;0;1;1;3;11;1;0;2;4;4;4;0;0;1;2;1;4;0;0;1;1;2;10;1;0;5;2;2;4;0;0;0;3;1;4;1;0;0;0;3;2;0;0;0;1;1;3;0;0;2;0;1
"Dobrepolje";"Površina [m2]";3710;0;64;198;799;2649;4600;1025;0;218;927;2430;2605;44;40;138;398;1985;2896;0;66;155;290;2385;1539;48;0;192;256;1043;934;0;0;210;724;0;1171;35;0;276;260;600;1035;0;0;123;144;768;2128;232;0;252;751;893;794;0;0;172;385;237;681;0;0;125;227;329;1619;220;0;677;347;375;848;0;0;0;592;256;845;260;0;0;0;585;518;0;0;0;203;315;527;0;0;356;0;171
"Dobrna";"Število";4;0;0;1;1;2;6;0;0;4;0;2;5;0;0;1;0;4;9;1;0;2;1;5;3;0;0;0;2;1;4;0;0;0;2;2;3;0;0;1;1;1;2;1;0;0;1;0;4;0;0;0;1;3;5;0;0;2;1;2;3;0;1;0;0;2;2;0;0;0;1;1;4;0;0;0;2;2;3;0;0;0;2;1;46;0;0;44;1;1;0;0;0;0;0;0
"Dobrna";"Površina [m2]";618;0;0;118;131;369;927;0;0;437;0;490;885;0;0;99;0;786;1606;82;0;244;185;1095;720;0;0;0;500;220;805;0;0;0;361;444;494;0;0;86;163;245;225;21;0;0;204;0;578;0;0;0;108;470;843;0;0;186;150;507;674;0;73;0;0;601;697;0;0;0;450;247;877;0;0;0;351;526;538;0;0;0;238;300;2738;0;0;2376;175;187;0;0;0;0;0;0
"Dobrova - Polhov Gradec";"Število";21;0;0;0;5;16;11;0;1;0;1;9;8;0;0;2;2;4;7;0;0;0;2;5;9;0;0;1;1;7;11;0;0;0;0;11;20;0;1;1;3;15;7;1;0;1;2;3;15;0;0;1;2;12;10;0;0;0;1;9;10;0;0;0;2;8;12;0;0;0;4;8;18;0;0;2;4;12;13;0;0;0;3;10;16;0;2;0;2;12;20;0;0;3;2;15
"Dobrova - Polhov Gradec";"Površina [m2]";3318;0;0;0;646;2672;1916;0;236;0;140;1540;1501;0;0;213;402;886;1731;0;0;0;418;1313;1754;0;0;176;150;1428;2021;0;0;0;0;2021;3330;0;68;85;620;2557;1196;26;0;81;368;721;2863;0;0;231;302;2330;1626;0;0;0;133;1493;2524;0;0;0;252;2272;2215;0;0;0;939;1276;3742;0;0;258;794;2690;2946;0;0;0;583;2363;2709;0;112;0;304;2293;3114;0;0;333;287;2494
"Dobrovnik/Dobronak";"Število";0;0;0;0;0;0;4;0;1;0;0;3;4;0;0;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;4;0;2;1;0;1;3;1;0;1;1;0;2;0;0;0;0;2;5;0;2;0;3;0;3;1;0;1;0;1;1;0;0;0;0;1;6;0;0;2;2;2;3;0;1;1;0;1;2;0;0;0;1;1;19;12;5;2;0;0
"Dobrovnik/Dobronak";"Površina [m2]";0;0;0;0;0;0;596;0;95;0;0;501;575;0;0;221;114;240;70;70;0;0;0;0;0;0;0;0;0;0;175;0;0;0;0;175;364;0;154;90;0;120;264;63;0;102;99;0;207;0;0;0;0;207;461;0;139;0;322;0;223;39;0;33;0;151;73;0;0;0;0;73;561;0;0;127;177;257;269;0;63;52;0;154;185;0;0;0;74;111;869;480;271;118;0;0
"Dol pri Ljubljani";"Število";39;2;14;12;3;8;174;9;59;46;25;35;16;0;0;1;3;12;14;0;0;0;2;12;17;0;0;0;4;13;11;0;0;2;2;7;4;0;0;0;1;3;5;0;0;1;3;1;3;0;0;1;1;1;38;1;0;0;12;25;5;0;0;0;3;2;7;0;0;0;1;6;6;0;0;0;1;5;8;0;0;1;2;5;10;0;0;0;7;3;15;0;0;0;7;8
"Dol pri Ljubljani";"Površina [m2]";3534;84;689;713;563;1485;15715;290;3591;3871;3172;4791;2483;0;0;100;411;1972;2725;0;0;0;233;2492;3035;0;0;0;638;2397;1847;0;0;240;302;1305;949;0;0;0;167;782;686;0;0;207;408;71;548;0;0;220;157;171;3996;51;0;0;1026;2919;1010;0;0;0;801;209;1373;0;0;0;185;1188;877;0;0;0;138;739;1052;0;0;105;299;648;1063;0;0;0;467;596;1973;0;0;0;910;1063
"Dolenjske Toplice";"Število";5;0;0;1;1;3;6;0;0;0;2;4;5;0;0;1;1;3;5;0;0;0;2;3;6;0;0;0;2;4;6;0;0;0;2;4;1;0;0;0;1;0;5;0;0;1;2;2;5;0;0;1;0;4;6;0;0;1;1;4;8;0;0;0;3;5;6;0;0;1;3;2;9;0;0;1;4;4;7;0;0;0;2;5;7;0;0;1;1;5;6;1;0;0;0;5
"Dolenjske Toplice";"Površina [m2]";814;0;0;78;198;538;909;0;0;0;240;669;598;0;0;81;83;434;727;0;0;0;243;484;903;0;0;0;215;688;942;0;0;0;255;687;98;0;0;0;98;0;719;0;0;105;164;450;1246;0;0;263;0;983;1018;0;0;248;85;685;1463;0;0;0;437;1026;921;0;0;173;370;378;1618;0;0;217;631;770;1322;0;0;0;406;916;1093;0;0;198;144;751;1212;163;0;0;0;1049
"Domžale";"Število";126;7;35;22;24;38;77;5;23;16;19;14;139;25;38;36;20;20;35;0;3;1;10;21;25;0;1;1;8;15;35;1;1;2;12;19;36;1;0;4;6;25;32;2;0;2;9;19;32;0;0;0;5;27;31;0;1;0;1;29;50;1;0;5;2;42;49;0;0;1;2;46;77;1;2;1;5;68;41;0;0;1;0;40;56;0;0;0;5;51;91;2;3;6;6;74
"Domžale";"Površina [m2]";15989;278;4033;1839;2880;6959;8565;168;1206;1171;2925;3095;13665;1015;2286;3207;3034;4123;5322;0;141;52;1156;3973;4101;0;223;60;1416;2402;5448;157;47;124;1719;3401;5876;100;0;253;988;4535;4816;76;0;170;1216;3354;5607;0;0;0;588;5019;4978;0;30;0;199;4749;7738;50;0;362;125;7201;7807;0;0;77;281;7449;13049;49;98;65;646;12191;6385;0;0;132;0;6253;11135;0;0;0;572;10563;11039;100;150;420;647;9722
"Dornava";"Število";7;1;0;0;3;3;21;13;2;3;1;2;6;0;1;0;1;4;5;0;0;1;1;3;8;0;0;1;4;3;2;0;1;1;0;0;5;0;0;1;3;1;5;0;0;0;1;4;8;0;0;2;1;5;11;0;0;2;5;4;3;0;0;0;2;1;2;0;0;0;2;0;5;0;1;0;1;3;6;0;0;1;2;3;1;0;0;0;0;1;4;0;0;0;4;0
"Dornava";"Površina [m2]";747;70;0;0;292;385;1433;572;124;240;150;347;618;0;40;0;66;512;782;0;0;146;125;511;1235;0;0;49;549;637;132;0;84;48;0;0;710;0;0;82;382;246;622;0;0;0;60;562;1387;0;0;148;161;1078;1187;0;0;111;568;508;307;0;0;0;202;105;239;0;0;0;239;0;813;0;73;0;232;508;1054;0;0;309;199;546;174;0;0;0;0;174;584;0;0;0;584;0
"Dravograd";"Število";21;0;2;6;10;3;30;8;5;12;5;0;22;0;2;11;9;0;12;0;2;3;7;0;16;1;4;10;1;0;20;0;3;15;2;0;15;0;0;8;7;0;15;4;4;5;2;0;8;0;0;4;4;0;7;1;2;2;2;0;10;0;2;5;3;0;10;0;2;1;5;2;7;2;1;2;1;1;5;2;0;0;0;3;52;4;42;2;2;10;13;7;0;3;2;1
"Dravograd";"Površina [m2]";2502;0;85;840;1159;418;2644;239;202;1381;822;0;2733;0;107;1250;1376;0;1649;0;104;390;1155;0;1529;41;313;1005;170;0;2505;0;180;1885;440;0;2125;0;0;1086;1039;0;1543;140;275;600;528;0;1454;0;0;646;808;0;938;24;186;270;458;0;1402;0;240;642;520;0;1047;0;142;170;460;275;895;95;30;180;250;340;763;140;0;0;0;623;4707;243;3573;240;203;2;1623;476;0;345;268;534
"Duplek";"Število";109;16;50;6;20;17;74;0;0;1;23;50;25;0;0;1;5;19;25;0;0;0;9;16;35;0;0;5;14;16;17;0;3;1;10;3;8;0;1;0;4;3;14;0;0;0;6;8;12;0;1;2;7;2;8;1;0;2;1;4;9;0;1;0;2;6;14;1;0;3;2;8;8;0;0;2;0;6;20;0;1;2;4;13;12;0;0;1;3;8;11;0;0;1;5;5
"Duplek";"Površina [m2]";9028;615;2847;1173;1488;2905;11714;0;0;102;2732;8880;4088;0;0;106;720;3262;4468;0;0;0;1300;3168;5958;0;0;659;2118;3181;1989;0;172;87;1393;337;1415;0;68;0;575;772;2447;0;0;0;945;1502;1697;0;40;211;999;447;1051;61;0;284;102;604;1557;0;50;0;244;1263;1661;30;0;275;270;1086;1230;0;0;120;0;1110;3145;0;40;178;672;2255;1401;0;0;48;393;960;1831;0;0;158;651;1022
"Gorenja vas - Poljane";"Število";22;0;1;5;6;10;19;0;0;2;5;12;41;14;3;7;7;10;29;0;1;1;10;17;21;0;0;1;4;16;13;0;0;0;6;7;29;0;0;3;8;18;12;0;1;0;7;4;18;0;1;2;7;8;4;0;0;1;0;3;12;0;0;0;3;9;24;0;2;1;7;14;15;0;0;5;4;6;14;0;1;3;1;9;13;0;0;6;2;5;8;0;0;0;0;8
"Gorenja vas - Poljane";"Površina [m2]";3870;0;75;478;968;2349;4214;0;0;296;1083;2835;4909;358;320;1056;1231;1944;7752;0;46;183;2603;4920;4200;0;0;207;605;3388;3293;0;0;0;1334;1959;6959;0;0;374;1652;4933;2487;0;131;0;1488;868;3150;0;103;303;1229;1515;761;0;0;125;0;636;2727;0;0;0;517;2210;6193;0;195;72;1869;4057;3550;0;0;1210;838;1502;3692;0;68;604;172;2848;3045;0;0;939;677;1429;2283;0;0;0;0;2283
"Gorišnica";"Število";10;0;0;1;3;6;13;0;1;0;2;10;4;0;0;0;1;3;8;0;0;1;3;4;1;0;1;0;0;0;3;1;0;0;1;1;7;1;0;3;2;1;1;0;0;0;0;1;12;0;2;5;3;2;15;1;1;3;3;7;6;1;0;2;1;2;26;2;5;13;1;5;13;0;1;4;5;3;29;1;19;3;4;2;8;0;2;0;3;3;8;1;0;4;2;1
"Gorišnica";"Površina [m2]";1178;0;0;102;240;836;2332;0;90;0;477;1765;703;0;0;0;139;564;969;0;0;178;254;537;146;0;146;0;0;0;863;161;0;0;360;342;918;64;0;380;266;208;201;0;0;0;0;201;1677;0;129;580;471;497;2220;34;312;345;513;1016;894;35;0;447;83;329;2804;85;260;1750;88;621;2004;0;85;435;885;599;5060;43;2643;751;715;908;1264;0;381;0;389;494;1555;150;0;966;261;178
"Gorje";"Število";1;0;0;0;1;0;0;0;0;0;0;0;13;0;0;10;1;2;8;0;1;0;0;7;2;0;0;1;1;0;7;0;0;0;7;0;3;0;0;1;0;2;6;0;0;0;3;3;0;0;0;0;0;0;2;0;0;1;1;0;5;0;0;2;2;1;4;0;0;1;3;0;3;0;0;1;1;1;3;0;0;1;1;1;6;0;0;3;1;2;4;0;0;2;1;1
"Gorje";"Površina [m2]";216;0;0;0;216;0;0;0;0;0;0;0;1793;0;0;1049;156;588;1389;0;105;0;0;1284;243;0;0;93;150;0;1419;0;0;0;1419;0;401;0;0;88;0;313;1177;0;0;0;476;701;0;0;0;0;0;0;358;0;0;89;269;0;726;0;0;315;264;147;643;0;0;109;534;0;498;0;0;138;210;150;571;0;0;124;218;229;762;0;0;233;198;331;567;0;0;246;180;141
"Gornja Radgona";"Število";27;1;1;2;7;16;35;1;3;3;10;18;28;1;1;7;9;10;26;1;1;3;6;15;36;0;3;5;9;19;22;0;2;4;8;8;13;0;0;1;2;10;12;0;1;2;5;4;15;0;1;1;4;9;13;1;1;3;4;4;18;1;2;4;6;5;33;3;15;9;6;0;49;6;6;26;5;6;24;1;1;4;8;10;14;2;0;2;4;6;16;0;1;3;5;7
"Gornja Radgona";"Površina [m2]";5063;73;63;311;1071;3545;6102;107;183;410;1524;3878;4483;125;142;810;1691;1715;4911;28;241;579;1040;3023;6987;0;334;943;1395;4315;3652;0;130;356;1224;1942;2476;0;0;147;274;2055;2297;0;70;458;700;1069;2991;0;182;143;756;1910;2433;80;60;525;720;1048;2953;50;176;756;968;1003;2691;77;618;847;1149;0;5545;753;305;2476;1038;973;4789;200;61;778;1274;2476;2200;49;0;254;589;1308;2243;0;73;346;771;1053
"Gornji Grad";"Število";1;0;0;0;0;1;7;0;0;0;0;7;6;0;0;0;0;6;5;0;0;0;1;4;3;0;0;0;0;3;4;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;1;3;1;0;0;0;2;1;0;0;1;0;0;3;0;0;0;0;3;2;1;1;0;0;0;3;0;0;3;0;0;3;1;0;1;0;1;1;0;0;0;1;0;3;0;0;2;1;0
"Gornji Grad";"Površina [m2]";208;0;0;0;0;208;789;0;0;0;0;789;995;0;0;0;0;995;994;0;0;0;85;909;600;0;0;0;0;600;804;0;0;0;0;804;0;0;0;0;0;0;159;0;0;0;0;159;662;302;0;0;0;360;232;0;0;232;0;0;453;0;0;0;0;453;85;41;44;0;0;0;458;0;0;458;0;0;396;50;0;169;0;177;160;0;0;0;160;0;437;0;0;242;195;0
"Gornji Petrovci";"Število";7;1;1;0;1;4;5;0;1;1;0;3;10;5;0;2;0;3;11;1;0;3;4;3;4;1;0;1;1;1;4;1;1;0;1;1;2;0;0;0;0;2;4;0;1;0;3;0;1;0;0;1;0;0;3;0;1;0;1;1;8;0;2;2;2;2;4;0;1;1;0;2;7;0;1;1;0;5;5;0;0;1;2;2;1;0;0;0;0;1;12;1;3;6;1;1
"Gornji Petrovci";"Površina [m2]";1130;79;78;0;132;841;727;0;47;89;0;591;973;304;0;199;0;470;1568;28;0;276;738;526;306;24;0;109;110;63;393;38;50;0;171;134;215;0;0;0;0;215;499;0;100;0;399;0;68;0;0;68;0;0;533;0;97;0;235;201;782;0;136;163;219;264;723;0;48;84;0;591;1663;0;60;97;0;1506;587;0;0;79;180;328;166;0;0;0;0;166;927;30;165;469;150;113
"Grad";"Število";5;0;0;1;2;2;4;1;1;0;1;1;3;0;1;1;0;1;6;0;0;1;4;1;1;0;0;0;0;1;4;0;0;2;2;0;7;0;4;3;0;0;4;1;1;0;0;2;9;0;1;1;5;2;3;0;2;0;1;0;2;0;0;0;1;1;4;0;0;0;2;2;5;0;1;0;2;2;5;0;1;1;2;1;3;0;1;1;0;1;3;0;0;2;1;0
"Grad";"Površina [m2]";691;0;0;100;273;318;358;11;86;0;149;112;336;0;97;109;0;130;845;0;0;171;552;122;203;0;0;0;0;203;491;0;0;211;280;0;874;0;446;428;0;0;525;50;45;0;0;430;1857;0;126;154;1159;418;310;0;115;0;195;0;251;0;0;0;63;188;583;0;0;0;267;316;852;0;94;0;258;500;789;0;41;153;303;292;505;0;64;257;0;184;340;0;0;184;156;0
"Grosuplje";"Število";67;0;0;9;14;44;80;0;10;19;16;35;68;2;2;8;25;31;52;0;0;3;17;32;39;0;3;4;10;22;31;0;1;4;4;22;28;0;1;4;9;14;31;2;2;7;8;12;40;1;1;7;15;16;39;3;2;7;16;11;33;0;2;6;13;12;94;16;16;34;21;7;60;2;4;20;19;15;38;4;1;16;6;11;73;0;2;40;15;16;52;0;0;20;16;16
"Grosuplje";"Površina [m2]";12965;0;0;1278;2596;9091;12940;0;746;2329;2551;7314;13016;35;120;1227;4026;7608;10837;0;0;400;2791;7646;8155;0;255;506;1870;5524;6810;0;102;632;878;5198;5709;0;84;396;1852;3377;5105;71;100;725;1560;2649;8227;25;78;1095;3020;4009;6367;163;108;907;2808;2381;6904;0;183;677;2591;3453;8386;686;851;2539;2759;1551;7118;66;156;1759;2666;2471;6645;768;172;2109;795;2801;10363;0;287;4719;2037;3320;8126;0;0;2363;2452;3311
"Hajdina";"Število";4;0;0;1;1;2;12;0;0;1;3;8;3;0;0;1;0;2;18;1;1;1;13;2;5;1;0;0;3;1;5;0;0;1;1;3;4;1;1;0;2;0;5;0;0;2;0;3;8;0;1;3;1;3;11;0;4;0;3;4;10;0;3;1;1;5;9;1;0;3;4;1;6;0;0;1;0;5;5;0;0;1;2;2;14;0;1;3;6;4;31;2;1;14;7;7
"Hajdina";"Površina [m2]";556;0;0;70;139;347;2031;0;0;169;356;1506;441;0;0;109;0;332;1757;78;63;47;1329;240;663;101;0;0;362;200;596;0;0;150;70;376;373;138;66;0;169;0;731;0;0;211;0;520;968;0;80;232;160;496;1408;0;211;0;259;938;1386;0;156;81;115;1034;1481;40;0;670;615;156;1117;0;0;120;0;997;691;0;0;86;248;357;2305;0;127;312;969;897;3681;307;105;1114;826;1329
"Hoèe - Slivnica";"Število";137;0;7;46;16;68;43;0;1;11;14;17;34;0;3;7;12;12;75;1;1;1;24;48;54;2;0;3;17;32;30;2;3;4;7;14;28;0;2;4;9;13;33;6;1;5;9;12;18;1;0;4;8;5;41;0;0;22;10;9;34;0;1;4;23;6;14;1;0;2;7;4;26;0;0;2;9;15;54;0;2;3;16;33;33;0;0;3;20;10;53;2;7;8;11;25
"Hoèe - Slivnica";"Površina [m2]";16888;0;412;3158;2442;10876;6772;0;77;1303;2095;3297;4800;0;131;771;1535;2363;14150;91;48;75;3669;10267;5687;105;0;240;2199;3143;4238;72;192;505;999;2470;4549;0;133;324;1326;2766;3884;211;118;449;1311;1795;2841;44;0;537;1189;1071;4509;0;0;1826;1037;1646;4496;0;44;443;2959;1050;2322;42;0;242;1250;788;5146;0;0;253;2173;2720;8510;0;247;397;2140;5726;4371;0;0;275;2624;1472;6532;73;403;677;1560;3819
"Hodoš/Hodos";"Število";2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Hodoš/Hodos";"Površina [m2]";167;0;98;69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;185;0;0;0;185;0;50;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Horjul";"Število";2;0;0;0;0;2;4;0;0;0;1;3;1;0;0;0;0;1;3;0;0;0;0;3;3;0;0;1;0;2;3;0;0;1;1;1;0;0;0;0;0;0;3;0;0;0;1;2;0;0;0;0;0;0;8;0;0;0;1;7;5;0;0;0;2;3;3;0;1;0;0;2;2;0;0;0;0;2;8;0;0;0;0;8;11;0;0;0;2;9;2;0;0;0;0;2
"Horjul";"Površina [m2]";497;0;0;0;0;497;797;0;0;0;179;618;240;0;0;0;0;240;693;0;0;0;0;693;690;0;0;204;0;486;404;0;0;65;177;162;0;0;0;0;0;0;628;0;0;0;160;468;0;0;0;0;0;0;1645;0;0;0;128;1517;1052;0;0;0;362;690;354;0;82;0;0;272;659;0;0;0;0;659;1388;0;0;0;0;1388;2074;0;0;0;324;1750;597;0;0;0;0;597
"Hrastnik";"Število";6;0;1;2;1;2;14;0;0;0;3;11;6;0;0;0;1;5;6;0;0;0;2;4;3;0;0;0;0;3;21;6;2;7;1;5;12;0;0;0;1;11;8;0;0;0;2;6;2;0;0;1;0;1;5;0;0;0;2;3;5;0;0;2;1;2;3;0;0;0;1;2;10;0;0;1;3;6;6;0;0;0;1;5;7;2;3;0;1;1;3;0;0;0;0;3
"Hrastnik";"Površina [m2]";662;0;101;139;99;323;2176;0;0;0;480;1696;840;0;0;0;113;727;1383;0;0;0;163;1220;406;0;0;0;0;406;1910;204;92;438;160;1016;2878;0;0;0;192;2686;1453;0;0;0;171;1282;347;0;0;178;0;169;594;0;0;0;214;380;527;0;0;173;123;231;638;0;0;0;151;487;1616;0;0;127;343;1146;961;0;0;0;79;882;486;68;163;0;120;135;672;0;0;0;0;672
"Hrpelje - Kozina";"Število";204;54;74;35;29;12;27;0;0;0;12;15;42;21;0;1;4;16;14;0;1;4;2;7;13;1;0;1;7;4;12;0;2;1;7;2;3;0;0;1;0;2;5;0;0;3;2;0;13;0;1;1;5;6;18;7;0;5;4;2;8;0;0;2;1;5;8;0;0;3;4;1;17;1;0;0;13;3;34;0;4;19;0;11;33;0;1;29;3;0;51;0;0;6;3;42
"Hrpelje - Kozina";"Površina [m2]";15789;2700;4438;2981;3654;2016;4010;0;0;0;1488;2522;4231;591;0;66;664;2910;2091;0;41;375;413;1262;1893;28;0;86;1139;640;2023;0;268;100;1235;420;566;0;0;89;0;477;656;0;0;426;230;0;1981;0;91;195;695;1000;1937;403;0;726;455;353;1777;0;0;504;182;1091;1737;0;0;240;952;545;2790;183;0;0;1742;865;5557;0;324;3057;0;2176;3261;0;60;2683;518;0;4351;0;0;638;342;3371
"Idrija";"Število";13;0;0;4;4;5;18;1;0;0;5;12;27;7;0;3;3;14;20;0;1;0;1;18;10;0;0;1;0;9;12;2;1;0;3;6;14;1;1;0;4;8;19;0;1;4;3;11;10;1;0;2;1;6;18;1;2;3;1;11;33;0;4;11;6;12;15;1;1;0;1;12;18;0;0;6;6;6;8;0;0;0;4;4;12;0;0;1;3;8;5;1;1;0;1;2
"Idrija";"Površina [m2]";1584;0;0;381;402;801;3183;51;0;0;782;2350;4072;699;0;429;465;2479;3440;0;49;0;66;3325;2076;0;0;73;0;2003;2096;164;148;0;598;1186;2782;27;170;0;711;1874;3570;0;144;610;314;2502;1489;34;0;197;127;1131;3364;50;152;516;107;2539;4322;0;176;936;700;2510;3504;94;71;0;243;3096;2737;0;0;561;806;1370;1430;0;0;0;770;660;2143;0;0;119;509;1515;754;138;83;0;155;378
"Ig";"Število";20;0;1;5;4;10;31;1;3;8;12;7;36;0;0;2;3;31;10;0;0;1;3;6;17;0;1;1;6;9;9;1;1;1;2;4;10;0;0;5;2;3;15;0;0;1;5;9;13;0;2;0;1;10;15;0;1;1;2;11;13;0;0;1;1;11;28;1;3;0;3;21;24;0;0;2;7;15;22;0;0;0;3;19;17;0;0;0;1;16;16;0;1;0;2;13
